ghsa_id,cve_id,severity,summary,cwe_ids,ecosystems,packages,vulnerable_version_ranges,first_patched_versions,published_at,updated_at,html_url
GHSA-hf3j-86p7-mfw8,CVE-2025-4318,critical,AWS Amplify Studio UI Component Properties Has an Input Validation Issue,CWE-95,npm,@aws-amplify/codegen-ui-react,<= 2.20.2,2.20.3,2026-07-30T20:57:24Z,2026-07-30T20:57:25Z,https://github.com/advisories/GHSA-hf3j-86p7-mfw8
GHSA-xr9x-r78c-5hrm,CVE-2026-66066,critical,Active Storage has possible arbitrary file read and remote code execution in Active Storage variant processing,CWE-1188,rubygems,activestorage; activestorage; activestorage,"< 7.2.3.2; >= 8.0.0.beta1, < 8.0.5.1; >= 8.1.0.beta1, < 8.1.3.1",7.2.3.2; 8.0.5.1; 8.1.3.1,2026-07-30T18:23:33Z,2026-07-30T18:23:34Z,https://github.com/advisories/GHSA-xr9x-r78c-5hrm
GHSA-4mrv-5p47-p938,CVE-2026-54522,low,MessagePack::Buffer#clear Use-After-Free that Enables Cross-Buffer Disclosure,CWE-416,rubygems,msgpack,<= 1.8.1,1.8.2,2026-07-30T16:33:12Z,2026-07-30T16:33:13Z,https://github.com/advisories/GHSA-4mrv-5p47-p938
GHSA-cg4g-m8jx-vjv2,CVE-2026-54722,high,dssrf has an SSRF bypass with remove_at_symbol_in_string,CWE-76,npm,dssrf,<= 1.0.3,1.0.4,2026-07-30T16:26:52Z,2026-07-30T21:23:16Z,https://github.com/advisories/GHSA-cg4g-m8jx-vjv2
GHSA-c9hr-64h3-gxpc,CVE-2026-67424,high,Flyto2 Core: Guarded HTTP modules follow redirects into internal space without per-hop SSRF revalidation,CWE-918,pip,flyto-core,<= 2.26.6,2.26.7,2026-07-30T14:48:16Z,2026-07-30T14:48:19Z,https://github.com/advisories/GHSA-c9hr-64h3-gxpc
